"";"id_emission";"Polluant";"quantite";"unite"
"1";1;"Composés organiques volatils non méthaniques (COVNM)";45500;"kg/an"
"2";2;"Hydrochlorofluorocarbures (HCFC)";3640;"kg/an"
"3";3;"Hydroflurocarbures (HFC)";3910;"kg/an"
"4";4;"Oxydes de soufre (SOx/SO2)";173000;"kg/an"
"5";5;"Oxydes d'azote (NOx/NO2)";368000;"kg/an"
"6";6;"Protoxyde d'azote (N2O)";17000;"kg/an"
"7";7;"Tétrachlorométhane (TCM, tétrachlorure de carbone)";375;"kg/an"
"8";8;"CO2 Total d'origine non biomasse uniquement";4,45e+08;"kg/an"
"9";9;"CO2 Total (CO2 d'origine biomasse et non biomasse)";4,45e+08;"kg/an"
"10";10;"Méthane (CH4)";547000;"kg/an"
"11";11;"CO2 Total (CO2 d'origine biomasse et non biomasse)";15100000;"kg/an"
"12";12;"CO2 Total d'origine biomasse uniquement";15100000;"kg/an"
"13";13;"Composés organiques volatils non méthaniques (COVNM)";37100;"kg/an"
"14";14;"Méthane (CH4)";338000;"kg/an"
"15";15;"CO2 Total d'origine non biomasse uniquement";17200000;"kg/an"
"16";16;"CO2 Total (CO2 d'origine biomasse et non biomasse)";17200000;"kg/an"
"17";17;"Composés organiques volatils non méthaniques (COVNM)";78800;"kg/an"
"18";18;"Oxydes d'azote (NOx/NO2)";122000;"kg/an"
"19";19;"CO2 Total d'origine non biomasse uniquement";1,35e+08;"kg/an"
"20";20;"CO2 Total (CO2 d'origine biomasse et non biomasse)";1,56e+08;"kg/an"
"21";21;"CO2 Total d'origine biomasse uniquement";21200000;"kg/an"
"22";22;"CO2 Total d'origine non biomasse uniquement";21200000;"kg/an"
"23";23;"CO2 Total (CO2 d'origine biomasse et non biomasse)";21200000;"kg/an"
"24";24;"Demande chimique en oxygène (DCO)";182000;"kg/an"
"25";25;"Cadmium et composés (exprimés en tant que Cd)";7,87;"kg/an"
"26";26;"Chrome et composés (exprimés en tant que Cr)";339;"kg/an"
"27";27;"Cuivre et composés (exprimés en tant que Cu)";1770;"kg/an"
"28";28;"Mercure et composés (exprimés en tant que Hg)";6,69;"kg/an"
"29";29;"Nickel et composés (exprimés en tant que Ni)";154;"kg/an"
"30";30;"Plomb et composés (exprimés en tant que Pb)";280;"kg/an"
"31";31;"Zinc et composés (exprimés en tant que Zn)";9050;"kg/an"
"32";32;"Composés organiques volatils non méthaniques (COVNM)";40900;"kg/an"
"33";33;"Aldéhyde formique (formaldéhyde)";1070;"kg/an"
"34";34;"Chlorures (en tant que Cl total)";3170000;"kg/an"
"35";35;"Sulfates";3420000;"kg/an"
"36";36;"Hydroflurocarbures (HFC)";149;"kg/an"
"37";37;"Oxydes d'azote (NOx/NO2)";160000;"kg/an"
"38";38;"CO2 Total d'origine non biomasse uniquement";49700000;"kg/an"
"39";39;"CO2 Total (CO2 d'origine biomasse et non biomasse)";49700000;"kg/an"
"40";40;"CO2 Total (CO2 d'origine biomasse et non biomasse)";48600000;"kg/an"
"41";41;"CO2 Total d'origine biomasse uniquement";48600000;"kg/an"
"42";42;"Cuivre et composés (exprimés en tant que Cu)";223;"kg/an"
"43";43;"Méthane (CH4)";461000;"kg/an"
"44";44;"Demande biologique en oxygène (DBO5)";43100;"kg/an"
"45";45;"Composés organiques volatils non méthaniques (COVNM)";142000;"kg/an"
"46";46;"Cadmium et composés (exprimés en tant que Cd)";1,47;"kg/an"
"47";47;"Composés organiques volatils non méthaniques (COVNM)";125000;"kg/an"
"48";48;"Hydroflurocarbures (HFC)";166;"kg/an"
"49";49;"CO2 Total d'origine non biomasse uniquement";2,4e+07;"kg/an"
"50";50;"CO2 Total (CO2 d'origine biomasse et non biomasse)";2,4e+07;"kg/an"
"51";51;"Zinc et composés (exprimés en tant que Zn)";166;"kg/an"
"52";52;"CO2 Total d'origine non biomasse uniquement";11800000;"kg/an"
"53";53;"CO2 Total (CO2 d'origine biomasse et non biomasse)";11800000;"kg/an"
"54";54;"CO2 Total (CO2 d'origine biomasse et non biomasse)";13100000;"kg/an"
"55";55;"CO2 Total d'origine biomasse uniquement";13100000;"kg/an"
"56";56;"Composés organiques volatils non méthaniques (COVNM)";258000;"kg/an"
"57";57;"Oxydes d'azote (NOx/NO2)";299000;"kg/an"
"58";58;"Protoxyde d'azote (N2O)";10400;"kg/an"
"59";59;"CO2 Total d'origine non biomasse uniquement";2,39e+08;"kg/an"
"60";60;"CO2 Total (CO2 d'origine biomasse et non biomasse)";4,48e+08;"kg/an"
"61";61;"CO2 Total d'origine biomasse uniquement";2,09e+08;"kg/an"
"62";62;"Demande chimique en oxygène (DCO)";285000;"kg/an"
"63";63;"Nickel et composés (exprimés en tant que Ni)";28,8;"kg/an"
"64";64;"Phosphore total";19000;"kg/an"
"65";65;"Zinc et composés (exprimés en tant que Zn)";227;"kg/an"
"66";66;"Composés organiques volatils non méthaniques (COVNM)";52800;"kg/an"
"67";67;"CO2 Total d'origine non biomasse uniquement";19100000;"kg/an"
"68";68;"CO2 Total (CO2 d'origine biomasse et non biomasse)";19100000;"kg/an"
"69";69;"CO2 Total d'origine non biomasse uniquement";62600000;"kg/an"
"70";70;"CO2 Total (CO2 d'origine biomasse et non biomasse)";62600000;"kg/an"
"71";71;"Demande chimique en oxygène (DCO)";167000;"kg/an"
"72";72;"Azote total";58800;"kg/an"
"73";73;"Chrome et composés (exprimés en tant que Cr)";218;"kg/an"
"74";74;"Cuivre et composés (exprimés en tant que Cu)";1320;"kg/an"
"75";75;"Mercure et composés (exprimés en tant que Hg)";2,48;"kg/an"
"76";76;"Nickel et composés (exprimés en tant que Ni)";112;"kg/an"
"77";77;"Plomb et composés (exprimés en tant que Pb)";259;"kg/an"
"78";78;"Zinc et composés (exprimés en tant que Zn)";2230;"kg/an"
"79";79;"CO2 Total d'origine non biomasse uniquement";57300000;"kg/an"
"80";80;"CO2 Total (CO2 d'origine biomasse et non biomasse)";57300000;"kg/an"
"81";81;"Sulfure de carbone";549000;"kg/an"
"82";82;"Sulfure d'hydrogène (H2S)";98000;"kg/an"
"83";83;"Composés organiques volatils non méthaniques (COVNM)";86500;"kg/an"
"84";84;"Composés organiques volatils non méthaniques (COVNM)";107000;"kg/an"
"85";85;"Demande biologique en oxygène (DBO5)";48400;"kg/an"
"86";86;"Sulfure de carbone";234000;"kg/an"
"87";87;"Sulfure d'hydrogène (H2S)";31100;"kg/an"
"88";88;"CO2 Total d'origine non biomasse uniquement";29600000;"kg/an"
"89";89;"CO2 Total (CO2 d'origine biomasse et non biomasse)";29600000;"kg/an"
"90";90;"Demande biologique en oxygène (DBO5)";63000;"kg/an"
"91";91;"Demande chimique en oxygène (DCO)";164000;"kg/an"
"92";92;"Composés organiques volatils non méthaniques (COVNM)";46000;"kg/an"
"93";93;"Zinc et composés (exprimés en tant que Zn)";812;"kg/an"
"94";94;"Composés organiques volatils non méthaniques (COVNM)";61700;"kg/an"
"97";95;"CO2 Total d'origine non biomasse uniquement";61700000;"kg/an"
"98";96;"CO2 Total (CO2 d'origine biomasse et non biomasse)";61700000;"kg/an"
"99";97;"CO2 Total d'origine non biomasse uniquement";18600000;"kg/an"
"100";98;"CO2 Total (CO2 d'origine biomasse et non biomasse)";18600000;"kg/an"
"101";99;"CO2 Total d'origine non biomasse uniquement";22800000;"kg/an"
"102";100;"CO2 Total (CO2 d'origine biomasse et non biomasse)";22800000;"kg/an"
"103";101;"CO2 Total d'origine non biomasse uniquement";14500000;"kg/an"
"104";102;"CO2 Total (CO2 d'origine biomasse et non biomasse)";14500000;"kg/an"
"105";103;"Composés organiques volatils non méthaniques (COVNM)";62200;"kg/an"
"106";104;"Oxydes de soufre (SOx/SO2)";239000;"kg/an"
"107";105;"Oxydes d'azote (NOx/NO2)";232000;"kg/an"
"108";106;"CO2 Total d'origine non biomasse uniquement";5,8e+07;"kg/an"
"109";107;"CO2 Total (CO2 d'origine biomasse et non biomasse)";5,8e+07;"kg/an"
"110";108;"Demande biologique en oxygène (DBO5)";78200;"kg/an"
"111";109;"Méthane (CH4)";194000;"kg/an"
"112";110;"CO2 Total d'origine non biomasse uniquement";15100000;"kg/an"
"114";111;"Nickel et composés (exprimés en tant que Ni)";73,3;"kg/an"
"115";112;"Composés organiques volatils non méthaniques (COVNM)";42500;"kg/an"
"116";113;"Composés organiques volatils non méthaniques (COVNM)";331000;"kg/an"
"117";114;"Composés organiques volatils non méthaniques (COVNM)";63600;"kg/an"
"118";115;"Composés organiques volatils non méthaniques (COVNM)";91100;"kg/an"
"119";116;"CO2 Total d'origine non biomasse uniquement";68900000;"kg/an"
"120";117;"CO2 Total (CO2 d'origine biomasse et non biomasse)";68900000;"kg/an"
"121";118;"CO2 Total d'origine non biomasse uniquement";70900000;"kg/an"
"122";119;"CO2 Total (CO2 d'origine biomasse et non biomasse)";70900000;"kg/an"
"123";120;"Dichlorométhane (DCM, chlorure de méthylène)";2180;"kg/an"
"124";121;"Oxydes de soufre (SOx/SO2)";219000;"kg/an"
"125";122;"Oxydes d'azote (NOx/NO2)";189000;"kg/an"
"126";123;"Sélénium";268;"kg/an"
"127";124;"CO2 Total d'origine non biomasse uniquement";85800000;"kg/an"
"128";125;"CO2 Total (CO2 d'origine biomasse et non biomasse)";85800000;"kg/an"
"129";126;"Demande biologique en oxygène (DBO5)";178000;"kg/an"
"130";127;"Demande chimique en oxygène (DCO)";409000;"kg/an"
"131";128;"Demande biologique en oxygène (DBO5)";74700;"kg/an"
"132";129;"Demande chimique en oxygène (DCO)";170000;"kg/an"
"133";130;"Hydroflurocarbures (HFC)";565;"kg/an"
"134";131;"CO2 Total d'origine non biomasse uniquement";2,6e+07;"kg/an"
"135";132;"CO2 Total (CO2 d'origine biomasse et non biomasse)";2,6e+07;"kg/an"
"136";133;"Demande chimique en oxygène (DCO)";286000;"kg/an"
"137";134;"Azote total";317000;"kg/an"
"138";135;"Chrome et composés (exprimés en tant que Cr)";125;"kg/an"
"139";136;"Cuivre et composés (exprimés en tant que Cu)";141;"kg/an"
"140";137;"Fer et composés (exprimés en tant que Fe)";108000;"kg/an"
"141";138;"Manganèse et composés (exprimés en tant que Mn)";1040;"kg/an"
"142";139;"Nickel et composés (exprimés en tant que Ni)";70;"kg/an"
"143";140;"Phosphore total";2e+05;"kg/an"
"144";141;"Zinc et composés (exprimés en tant que Zn)";506;"kg/an"
"145";142;"Azote total";59100;"kg/an"
"146";143;"Phosphore total";5880;"kg/an"
"147";144;"CO2 Total d'origine non biomasse uniquement";14300000;"kg/an"
"148";145;"CO2 Total (CO2 d'origine biomasse et non biomasse)";14300000;"kg/an"
"149";146;"CO2 Total d'origine non biomasse uniquement";13600000;"kg/an"
"150";147;"CO2 Total (CO2 d'origine biomasse et non biomasse)";13600000;"kg/an"
"151";148;"Composés organiques volatils non méthaniques (COVNM)";54000;"kg/an"
"152";149;"Méthane (CH4)";1090000;"kg/an"
"154";150;"CO2 Total d'origine biomasse uniquement";13600000;"kg/an"
"155";151;"CO2 Total d'origine non biomasse uniquement";2,7e+07;"kg/an"
"156";152;"CO2 Total (CO2 d'origine biomasse et non biomasse)";2,7e+07;"kg/an"
"157";153;"Acétaldéhyde (aldéhyde acétique  éthanal)";1280;"kg/an"
"158";154;"Composés organiques volatils non méthaniques (COVNM)";37200;"kg/an"
"159";155;"CO2 Total d'origine non biomasse uniquement";3,5e+07;"kg/an"
"160";156;"CO2 Total (CO2 d'origine biomasse et non biomasse)";3,5e+07;"kg/an"
"161";157;"Oxydes d'azote (NOx/NO2)";231000;"kg/an"
"162";158;"CO2 Total d'origine non biomasse uniquement";1,18e+08;"kg/an"
"163";159;"CO2 Total (CO2 d'origine biomasse et non biomasse)";1,39e+08;"kg/an"
"164";160;"CO2 Total d'origine biomasse uniquement";20800000;"kg/an"
"165";161;"Mercure et composés (exprimés en tant que Hg)";16,4;"kg/an"
"166";162;"Mercure et composés (exprimés en tant que Hg)";2,86;"kg/an"
"167";163;"Méthane (CH4)";810000;"kg/an"
"168";164;"Composés organiques volatils non méthaniques (COVNM)";48600;"kg/an"
"169";165;"Azote total";403000;"kg/an"
"170";166;"Demande chimique en oxygène (DCO)";1890000;"kg/an"
"171";167;"Méthane (CH4)";310000;"kg/an"
"172";168;"Composés organiques volatils non méthaniques (COVNM)";52400;"kg/an"
"173";169;"CO2 Total d'origine non biomasse uniquement";2,23e+08;"kg/an"
"174";170;"CO2 Total (CO2 d'origine biomasse et non biomasse)";2,23e+08;"kg/an"
"175";171;"Cuivre et composés (exprimés en tant que Cu)";187;"kg/an"
"176";172;"Zinc et composés (exprimés en tant que Zn)";244;"kg/an"
"177";173;"Méthane (CH4)";644000;"kg/an"
"178";174;"Méthane (CH4)";222000;"kg/an"
"179";175;"CO2 Total (CO2 d'origine biomasse et non biomasse)";27800000;"kg/an"
"180";176;"CO2 Total d'origine biomasse uniquement";27800000;"kg/an"
"181";177;"CO2 Total d'origine non biomasse uniquement";62900000;"kg/an"
"182";178;"CO2 Total (CO2 d'origine biomasse et non biomasse)";62900000;"kg/an"
"183";179;"Composés organiques volatils non méthaniques (COVNM)";90600;"kg/an"
"184";180;"Poussières totales";110000;"kg/an"
"185";181;"CO2 Total d'origine non biomasse uniquement";38700000;"kg/an"
"186";182;"CO2 Total (CO2 d'origine biomasse et non biomasse)";38700000;"kg/an"
"187";183;"CO2 Total d'origine non biomasse uniquement";38400000;"kg/an"
"188";184;"CO2 Total (CO2 d'origine biomasse et non biomasse)";38400000;"kg/an"
"189";185;"Azote total";475000;"kg/an"
"190";186;"Cuivre et composés (exprimés en tant que Cu)";89,9;"kg/an"
"191";187;"Nickel et composés (exprimés en tant que Ni)";37,1;"kg/an"
"192";188;"Nonylphénols et éthoxylates de nonylphénol (NP/NPE)";3,3;"kg/an"
"193";189;"Phosphore total";93900;"kg/an"
"194";190;"Zinc et composés (exprimés en tant que Zn)";607;"kg/an"
"195";191;"Composés organiques volatils non méthaniques (COVNM)";84200;"kg/an"
"196";192;"Oxydes de soufre (SOx/SO2)";486000;"kg/an"
"197";193;"Oxydes d'azote (NOx/NO2)";190000;"kg/an"
"198";194;"CO2 Total d'origine non biomasse uniquement";9,8e+07;"kg/an"
"199";195;"CO2 Total (CO2 d'origine biomasse et non biomasse)";9,8e+07;"kg/an"
"200";196;"Arsenic et composés (exprimés en tant que As)";9,79;"kg/an"
"201";197;"Cuivre et composés (exprimés en tant que Cu)";80,7;"kg/an"
"202";198;"Zinc et composés (exprimés en tant que Zn)";415;"kg/an"
"203";199;"CO2 Total d'origine non biomasse uniquement";30800000;"kg/an"
"204";200;"CO2 Total (CO2 d'origine biomasse et non biomasse)";30800000;"kg/an"
"205";201;"Ammoniac (NH3)";15600;"kg/an"
"206";202;"Composés organiques volatils non méthaniques (COVNM)";141000;"kg/an"
"207";203;"CO2 Total d'origine non biomasse uniquement";95200000;"kg/an"
"208";204;"CO2 Total (CO2 d'origine biomasse et non biomasse)";95200000;"kg/an"
"209";205;"Oxydes d'azote (NOx/NO2)";136000;"kg/an"
"210";206;"CO2 Total d'origine non biomasse uniquement";59200000;"kg/an"
"211";207;"CO2 Total (CO2 d'origine biomasse et non biomasse)";1,37e+08;"kg/an"
"212";208;"CO2 Total d'origine biomasse uniquement";77900000;"kg/an"
"213";209;"Cuivre et composés (exprimés en tant que Cu)";226;"kg/an"
"214";210;"Hydrochlorofluorocarbures (HCFC)";2,2;"kg/an"
"215";211;"Méthane (CH4)";223000;"kg/an"
"216";212;"CO2 Total d'origine non biomasse uniquement";10100000;"kg/an"
"217";213;"CO2 Total (CO2 d'origine biomasse et non biomasse)";10100000;"kg/an"
"218";214;"Trichloréthylène";2140;"kg/an"
"219";215;"Tétrachloroéthylène (PER, tétrachloroéthylène)";2170;"kg/an"
"220";216;"Méthane (CH4)";154000;"kg/an"
"221";217;"Composés organiques volatils non méthaniques (COVNM)";307000;"kg/an"
"222";218;"Composés organiques volatils non méthaniques (COVNM)";87600;"kg/an"
"224";219;"Oxydes d'azote (NOx/NO2)";118000;"kg/an"
"225";220;"Protoxyde d'azote (N2O)";820000;"kg/an"
"226";221;"CO2 Total d'origine non biomasse uniquement";14900000;"kg/an"
"227";222;"CO2 Total (CO2 d'origine biomasse et non biomasse)";14900000;"kg/an"
"228";223;"Cadmium et composés (exprimés en tant que Cd)";3,56;"kg/an"
"229";224;"Chlorures (en tant que Cl total)";3620000;"kg/an"
"230";225;"Demande chimique en oxygène (DCO)";406000;"kg/an"
"231";226;"Mercure et composés (exprimés en tant que Hg)";4,45;"kg/an"
"232";227;"Nickel et composés (exprimés en tant que Ni)";61;"kg/an"
"233";228;"Phénols (en tant que C total)";88,9;"kg/an"
"234";229;"Sulfates";3090000;"kg/an"
"235";230;"Mercure et composés (exprimés en tant que Hg)";1,1;"kg/an"
"236";231;"CO2 Total d'origine non biomasse uniquement";15700000;"kg/an"
"237";232;"CO2 Total (CO2 d'origine biomasse et non biomasse)";15700000;"kg/an"
"238";233;"Chloroforme (trichlorométhane)";10,9;"kg/an"
"239";234;"Méthane (CH4)";474000;"kg/an"
"240";235;"Ammoniac (NH3)";12900;"kg/an"
"241";236;"Méthane (CH4)";309000;"kg/an"
"242";237;"CO2 Total (CO2 d'origine biomasse et non biomasse)";10500000;"kg/an"
"243";238;"CO2 Total d'origine biomasse uniquement";10500000;"kg/an"
"244";239;"Méthane (CH4)";209000;"kg/an"
"245";240;"Méthane (CH4)";448000;"kg/an"
"246";241;"CO2 Total (CO2 d'origine biomasse et non biomasse)";11700000;"kg/an"
"247";242;"CO2 Total d'origine biomasse uniquement";11700000;"kg/an"
"248";243;"Méthane (CH4)";128000;"kg/an"
"249";244;"Méthane (CH4)";185000;"kg/an"
"250";245;"Méthane (CH4)";271000;"kg/an"
"251";246;"CO2 Total (CO2 d'origine biomasse et non biomasse)";10800000;"kg/an"
"252";247;"CO2 Total d'origine biomasse uniquement";10800000;"kg/an"
"253";248;"Méthane (CH4)";113000;"kg/an"
"254";249;"Oxydes d'azote (NOx/NO2)";165000;"kg/an"
"255";250;"CO2 Total (CO2 d'origine biomasse et non biomasse)";7,67e+08;"kg/an"
"256";251;"CO2 Total d'origine biomasse uniquement";7,67e+08;"kg/an"
"257";252;"Ammoniac (NH3)";10100;"kg/an"
"258";253;"Oxydes d'azote (NOx/NO2)";123000;"kg/an"
"259";254;"CO2 Total (CO2 d'origine biomasse et non biomasse)";1,3e+08;"kg/an"
"260";255;"CO2 Total d'origine biomasse uniquement";1,3e+08;"kg/an"
"261";256;"Demande chimique en oxygène (DCO)";435000;"kg/an"
"262";257;"CO2 Total d'origine non biomasse uniquement";22200000;"kg/an"
"263";258;"CO2 Total (CO2 d'origine biomasse et non biomasse)";22200000;"kg/an"
"264";259;"Composés organiques volatils non méthaniques (COVNM)";33800;"kg/an"
"265";260;"CO2 Total d'origine non biomasse uniquement";17400000;"kg/an"
"266";261;"CO2 Total (CO2 d'origine biomasse et non biomasse)";17400000;"kg/an"
"267";262;"Composés organiques volatils non méthaniques (COVNM)";298000;"kg/an"
"268";263;"Méthanol (alcool méthylique)";27900;"kg/an"
"269";264;"Demande biologique en oxygène (DBO5)";56400;"kg/an"
"270";265;"Demande chimique en oxygène (DCO)";185000;"kg/an"
"271";266;"Méthane (CH4)";242000;"kg/an"
"272";267;"CO2 Total d'origine non biomasse uniquement";66100000;"kg/an"
"273";268;"CO2 Total (CO2 d'origine biomasse et non biomasse)";66100000;"kg/an"
"274";269;"Aluminium et composés (exprimés en tant que Al)";25800;"kg/an"
"275";270;"Demande chimique en oxygène (DCO)";177000;"kg/an"
"276";271;"Mercure et composés (exprimés en tant que Hg)";1,14;"kg/an"
"277";272;"Zinc et composés (exprimés en tant que Zn)";118;"kg/an"
"278";273;"Méthane (CH4)";421000;"kg/an"
"279";274;"CO2 Total d'origine non biomasse uniquement";18400000;"kg/an"
"280";275;"CO2 Total (CO2 d'origine biomasse et non biomasse)";18400000;"kg/an"
"281";276;"Demande chimique en oxygène (DCO)";346000;"kg/an"
"282";277;"Monoxyde de carbone (CO)";791000;"kg/an"
"283";278;"Poussières totales";147000;"kg/an"
"284";279;"CO2 Total d'origine non biomasse uniquement";29200000;"kg/an"
"285";280;"CO2 Total (CO2 d'origine biomasse et non biomasse)";29200000;"kg/an"
"286";281;"CO2 Total d'origine non biomasse uniquement";4,4e+07;"kg/an"
"287";282;"CO2 Total (CO2 d'origine biomasse et non biomasse)";68100000;"kg/an"
"288";283;"CO2 Total d'origine biomasse uniquement";24100000;"kg/an"
"289";284;"Aldéhyde formique (formaldéhyde)";1080;"kg/an"
"290";285;"Hydroflurocarbures (HFC)";242;"kg/an"
"291";286;"Composés organiques volatils non méthaniques (COVNM)";34800;"kg/an"
"292";287;"Ammoniac (NH3)";10900;"kg/an"
"294";288;"Protoxyde d'azote (N2O)";168000;"kg/an"
"295";289;"Composés organiques volatils non méthaniques (COVNM)";31900;"kg/an"
"296";290;"Composés organiques volatils non méthaniques (COVNM)";273000;"kg/an"
"297";291;"Composés organiques volatils non méthaniques (COVNM)";709000;"kg/an"
"298";292;"Hydroflurocarbures (HFC)";401;"kg/an"
"299";293;"Oxydes d'azote (NOx/NO2)";138000;"kg/an"
"300";294;"CO2 Total d'origine non biomasse uniquement";1,57e+08;"kg/an"
"301";295;"CO2 Total (CO2 d'origine biomasse et non biomasse)";1,57e+08;"kg/an"
"302";296;"Cobalt et composés (exprimés en tant que Co)";120;"kg/an"
"304";297;"Zinc et composés (exprimés en tant que Zn)";237;"kg/an"
"305";298;"CO2 Total d'origine non biomasse uniquement";92200000;"kg/an"
"306";299;"CO2 Total (CO2 d'origine biomasse et non biomasse)";2,13e+08;"kg/an"
"307";300;"CO2 Total d'origine biomasse uniquement";1,21e+08;"kg/an"
"308";301;"CO2 Total d'origine non biomasse uniquement";31300000;"kg/an"
"309";302;"CO2 Total (CO2 d'origine biomasse et non biomasse)";31300000;"kg/an"
"310";303;"Demande biologique en oxygène (DBO5)";44500;"kg/an"
"311";304;"Demande chimique en oxygène (DCO)";307000;"kg/an"
"312";305;"Monoxyde de carbone (CO)";1940000;"kg/an"
"313";306;"Oxydes d'azote (NOx/NO2)";475000;"kg/an"
"314";307;"CO2 Total d'origine non biomasse uniquement";29300000;"kg/an"
"315";308;"CO2 Total (CO2 d'origine biomasse et non biomasse)";9,68e+08;"kg/an"
"316";309;"CO2 Total d'origine biomasse uniquement";9,38e+08;"kg/an"
"317";310;"Azote total";84100;"kg/an"
"318";311;"Composés organohalogénés (exprimés en tant que AOX)";1010;"kg/an"
"319";312;"Demande biologique en oxygène (DBO5)";942000;"kg/an"
"320";313;"Demande chimique en oxygène (DCO)";3150000;"kg/an"
"321";314;"Matières en suspension (MES)";523000;"kg/an"
"322";315;"Mercure et composés (exprimés en tant que Hg)";1,5;"kg/an"
"323";316;"Phosphore total";10700;"kg/an"
"324";317;"Phénols (en tant que C total)";646;"kg/an"
"325";318;"Plomb et composés (exprimés en tant que Pb)";26,2;"kg/an"
"326";319;"Hydrochlorofluorocarbures (HCFC)";499;"kg/an"
"327";320;"Hydroflurocarbures (HFC)";599;"kg/an"
"328";321;"Cadmium et composés (exprimés en tant que Cd)";2,6;"kg/an"
"329";322;"CO2 Total d'origine non biomasse uniquement";45500000;"kg/an"
"330";323;"CO2 Total (CO2 d'origine biomasse et non biomasse)";1,06e+08;"kg/an"
"331";324;"CO2 Total d'origine biomasse uniquement";6e+07;"kg/an"
"332";325;"Composés organiques volatils non méthaniques (COVNM)";33900;"kg/an"
"333";326;"CO2 Total (CO2 d'origine biomasse et non biomasse)";21800000;"kg/an"
"334";327;"CO2 Total d'origine biomasse uniquement";21800000;"kg/an"
"335";328;"Ammoniac (NH3)";23900;"kg/an"
"336";329;"Méthane (CH4)";1510000;"kg/an"
"337";330;"CO2 Total (CO2 d'origine biomasse et non biomasse)";44100000;"kg/an"
"338";331;"CO2 Total d'origine biomasse uniquement";44100000;"kg/an"
"339";332;"Cadmium et composés (exprimés en tant que Cd)";2,13;"kg/an"
"340";333;"Nickel et composés (exprimés en tant que Ni)";37,9;"kg/an"
"342";334;"CO2 Total d'origine non biomasse uniquement";25400000;"kg/an"
"343";335;"CO2 Total (CO2 d'origine biomasse et non biomasse)";25400000;"kg/an"
"344";336;"Chlore et composés inorganiques (en tant que HCl)";10400;"kg/an"
"345";337;"CO2 Total d'origine non biomasse uniquement";14700000;"kg/an"
"346";338;"CO2 Total (CO2 d'origine biomasse et non biomasse)";14700000;"kg/an"
"347";339;"Hydroflurocarbures (HFC)";116;"kg/an"
"348";340;"Composés organiques volatils non méthaniques (COVNM)";134000;"kg/an"
"349";341;"Composés organiques volatils non méthaniques (COVNM)";68200;"kg/an"
"350";342;"Arsenic et composés (exprimés en tant que As)";67,3;"kg/an"
"351";343;"Cadmium et composés (exprimés en tant que Cd)";26,9;"kg/an"
"352";344;"Oxydes de soufre (SOx/SO2)";205000;"kg/an"
"353";345;"Oxydes d'azote (NOx/NO2)";290000;"kg/an"
"354";346;"Plomb et composés (exprimés en tant que Pb)";242;"kg/an"
"355";347;"Zinc et composés (exprimés en tant que Zn)";861;"kg/an"
"356";348;"Sélénium";24,2;"kg/an"
"357";349;"CO2 Total d'origine non biomasse uniquement";79700000;"kg/an"
"358";350;"CO2 Total (CO2 d'origine biomasse et non biomasse)";79700000;"kg/an"
"359";351;"Méthane (CH4)";256000;"kg/an"
"360";352;"Composés organiques volatils non méthaniques (COVNM)";96000;"kg/an"
"361";353;"CO2 Total d'origine non biomasse uniquement";16100000;"kg/an"
"362";354;"CO2 Total (CO2 d'origine biomasse et non biomasse)";16100000;"kg/an"
"363";355;"Demande chimique en oxygène (DCO)";1760000;"kg/an"
"365";356;"Hydrochlorofluorocarbures (HCFC)";62;"kg/an"
"366";357;"Composés organohalogénés (exprimés en tant que AOX)";23400;"kg/an"
"367";358;"Méthane (CH4)";640000;"kg/an"
"368";359;"Zinc et composés (exprimés en tant que Zn)";324;"kg/an"
"369";360;"Zinc et composés (exprimés en tant que Zn)";347;"kg/an"
"370";361;"Monoxyde de carbone (CO)";640000;"kg/an"
