"";"Age_population";"Sexe_population";"Effectif_population";"id_population"
"1";"[16,20)";"H";"14908.8";1
"2";"[20,25)";"H";"16256";2
"3";"[25,30)";"H";"17673";3
"4";"[30,35)";"H";"19764";4
"5";"[35,40)";"H";"20865";5
"6";"[40,45)";"H";"24066";6
"7";"[45,50)";"H";"23356";7
"8";"[50,55)";"H";"20933";8
"9";"[55,60)";"H";"19254";9
"10";"[60,65)";"H";"18247";10
"11";"[65,70)";"H";"14170";11
"12";"[70,75)";"H";"9677";12
"13";"[75,80)";"H";"7943";13
"14";"[80,85)";"H";"5922";14
"15";"[85,90)";"H";"3520";15
"16";"[90,95)";"H";"1184";16
"17";"[16,20)";"F";"14083.2";17
"18";"[20,25)";"F";"14784";18
"19";"[25,30)";"F";"17564";19
"20";"[30,35)";"F";"20088";20
"21";"[35,40)";"F";"21085";21
"22";"[40,45)";"F";"23689";22
"23";"[45,50)";"F";"23104";23
"24";"[50,55)";"F";"20850";24
"25";"[55,60)";"F";"19394";25
"26";"[60,65)";"F";"18598";26
"27";"[65,70)";"F";"14636";27
"28";"[70,75)";"F";"10612";28
"29";"[75,80)";"F";"9920";29
"30";"[80,85)";"F";"9024";30
"31";"[85,90)";"F";"6390";31
"32";"[90,95)";"F";"3123";32
"33";"[16,20)";"H";"13080";33
"34";"[20,25)";"H";"14734";34
"35";"[25,30)";"H";"15214";35
"36";"[30,35)";"H";"16026";36
"37";"[35,40)";"H";"16261";37
"38";"[40,45)";"H";"18317";38
"39";"[45,50)";"H";"18577";39
"40";"[50,55)";"H";"18404";40
"41";"[55,60)";"H";"18238";41
"42";"[60,65)";"H";"18150";42
"43";"[65,70)";"H";"12734";43
"44";"[70,75)";"H";"8244";44
"45";"[75,80)";"H";"7537";45
"46";"[80,85)";"H";"5992";46
"47";"[85,90)";"H";"3175";47
"48";"[90,95)";"H";"967";48
"49";"[16,20)";"F";"12228.8";49
"50";"[20,25)";"F";"14303";50
"51";"[25,30)";"F";"15358";51
"52";"[30,35)";"F";"16023";52
"53";"[35,40)";"F";"16499";53
"54";"[40,45)";"F";"18407";54
"55";"[45,50)";"F";"18600";55
"56";"[50,55)";"F";"18778";56
"57";"[55,60)";"F";"18553";57
"58";"[60,65)";"F";"18619";58
"59";"[65,70)";"F";"13659";59
"60";"[70,75)";"F";"10095";60
"61";"[75,80)";"F";"10966";61
"62";"[80,85)";"F";"10005";62
"63";"[85,90)";"F";"6783";63
